player_id,player_display_name,player_name,position,position_group,team,season,week,season_type,attempts,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,macabets_performance_cap,macabets_requested_season,macabets_active_season,macabets_is_fallback
00-0033290,Jermaine Eluemunor,J.Eluemunor,G,OL,NYG,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033293,Aaron Jones,A.Jones,RB,RB,MIN,2025,1,REG,0,0,0,0,8,23,0,3,3,44,1,,-1.3980494601419196,4.188290114689153,0.15,0.1794871794871795,0.3506410256410256,0.2,2026,2025,True
00-0033294,Chuck Clark,C.Clark,SAF,DB,PIT,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033297,D.J. Jones,D.Jones,DT,DL,DEN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033303,Harrison Butker,H.Butker,K,SPEC,KC,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033336,Eric Wilson,E.Wilson,LB,LB,MIN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033381,Adam Butler,A.Butler,DT,DL,LV,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033393,Kenny Moore II,K.Moore,CB,DB,IND,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033523,Jonathan Allen,J.Allen,DE,DL,MIN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033526,Samaje Perine,S.Perine,RB,RB,CIN,2025,1,REG,0,0,0,0,0,0,0,2,2,6,0,,,0.286544852075167,0.08695652173913043,0.011834319526627219,0.1387188062773347,0.2,2026,2025,True
00-0033547,Zach Cunningham,Z.Cunningham,ILB,LB,DET,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033548,Chidobe Awuzie,C.Awuzie,CB,DB,BAL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033551,Rasul Douglas,R.Douglas,CB,DB,MIA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033553,James Conner,J.Conner,RB,RB,ARI,2025,1,REG,0,0,0,0,12,39,0,4,4,5,1,,-2.8264370815013535,0.47025403601583093,0.13793103448275862,-0.09036144578313253,0.14364353967594518,0.2,2026,2025,True
00-0033555,Mack Hollins,M.Hollins,WR,WR,NE,2025,1,REG,0,0,0,0,0,0,0,2,1,3,0,,,0.9462303819600493,0.044444444444444446,0.036827195467422094,0.09244570349386214,0.2,2026,2025,True
00-0033571,Matt Milano,M.Milano,OLB,LB,BUF,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033572,Jamal Agnew,J.Agnew,WR,WR,ATL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033576,Eric Saubert,E.Saubert,TE,TE,SEA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033579,Xavier Woods,X.Woods,FS,DB,TEN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033589,David Moore,D.Moore,WR,WR,CAR,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
